pt_id,lat,lon,gvi_mean,gvi_median,gvi_std,headings_count,total_valid,total_veg,gvi_weighted
pt00474,40.998603,70.072103,24.927500000000002,26.185000000000002,9.624066188467326,8,2034916,506841,24.91
pt00477,40.998554,70.071999,24.6825,19.06,11.606860963609904,8,2035747,501868,24.65
pt00479,40.998507,70.071895,24.32375,25.380000000000003,8.776284501020756,8,2036564,495092,24.31
pt00482,40.998459,70.071792,26.997500000000002,25.145,9.263155509868119,8,2038559,549939,26.98
pt00485,40.99841,70.071691,22.0675,21.23,8.189705646201736,8,2043301,450783,22.06
pt00487,40.998362,70.07159,45.2925,36.97,23.363435259885417,8,2039503,922283,45.22
pt00490,40.998314,70.071488,40.5025,37.94,12.623047798146281,8,2045036,828198,40.5
pt00492,40.998267,70.071387,51.31625,49.54,26.258276484350063,8,2043936,1048405,51.29
pt00495,40.998219,70.071285,50.761250000000004,48.22,20.1850124296646,8,2032279,1028761,50.62
pt00497,40.998172,70.071183,52.58,52.65,18.561925700591676,8,2025836,1063569,52.5
pt00500,40.998126,70.071081,50.964999999999996,47.45,12.080533337327692,8,2024592,1030117,50.88
pt00502,40.998079,70.070979,49.82125,49.535,12.164420528151531,8,2025112,1007892,49.77
pt00505,40.998032,70.070876,46.97625,47.805,14.94267038431504,8,2024944,948834,46.86
pt00507,40.997985,70.070772,38.775,39.99,16.81391430588708,8,2029572,784339,38.65
pt00510,40.997937,70.070668,37.239999999999995,32.925,20.547557380032163,8,2024879,748801,36.98
pt00512,40.997891,70.070563,44.17375,44.775,14.23496393442167,8,2023456,892653,44.12
pt00515,40.997845,70.070458,40.765,37.305,15.128961818786037,8,2017739,819103,40.6
pt00517,40.997799,70.070352,32.637499999999996,28.52,23.535624517496263,8,2016385,650901,32.28
pt00520,40.997754,70.070247,28.995,21.55,26.002485595474468,8,2013312,573879,28.5
pt00523,40.997709,70.070142,24.447499999999998,17.79,20.416960561538744,8,2015506,486283,24.13
pt00525,40.997665,70.070038,17.7925,9.235,14.578057630758435,8,2027048,357347,17.63
pt00528,40.997618,70.069928,13.30875,12.799999999999999,7.060933644254946,8,2037534,270513,13.28
pt00530,40.997572,70.069818,14.7725,9.725000000000001,11.040220947582009,8,2033751,298694,14.69
pt00533,40.997526,70.069707,12.17625,9.149999999999999,8.23395918914901,8,2038531,247424,12.14
pt00536,40.997482,70.069596,7.605,7.06,3.9980888291425303,8,2042659,155162,7.6
pt00538,40.99744,70.06949,6.48625,6.26,2.066425053080803,8,2044565,132609,6.49
pt00541,40.997398,70.069384,5.30125,5.765,3.0910397580287263,8,2046204,108465,5.3
pt00543,40.997356,70.069277,5.3412500000000005,5.88,3.2503381692195834,8,2045958,109266,5.34
pt00546,40.997316,70.069167,5.1450000000000005,4.42,3.5126343390680446,8,2045799,105270,5.15
pt00548,40.997276,70.069056,4.655,4.33,2.5522595031517805,8,2045339,95173,4.65
pt00551,40.997238,70.068942,4.08875,4.33,1.578493291537399,8,2046748,83686,4.09
pt00554,40.997201,70.068825,3.6825,3.3,1.9043465320906579,8,2047111,75350,3.68
pt00556,40.997168,70.068714,3.9275,2.87,2.7863583504536633,8,2047072,80409,3.93
pt00559,40.997137,70.068601,3.96125,3.215,2.3545423425492142,8,2046450,81061,3.96
pt00561,40.997107,70.068487,4.815,4.24,2.838480478807531,8,2045875,98503,4.81
pt00564,40.997078,70.068371,5.14125,4.865,3.4475060861854496,8,2047178,105234,5.14
pt00566,40.997049,70.068257,6.4975000000000005,4.9350000000000005,5.261851249458556,8,2047133,133021,6.5
pt00569,40.997023,70.068142,9.44375,9.094999999999999,6.908938180770928,8,2047023,193313,9.44
pt00572,40.996997,70.068026,14.51,12.95,11.367802903690002,8,2046068,296752,14.5
pt00574,40.996971,70.06791,20.9925,19.605,15.771226739132972,8,2043979,428512,20.96
pt00577,40.996946,70.067793,28.41,30.53,16.88932291631102,8,2045045,580830,28.4
pt00579,40.996922,70.067677,42.26125,32.870000000000005,20.72164529974807,8,2027737,853582,42.1
pt00582,40.996897,70.067561,42.68875,37.16,14.547308477122888,8,2035686,867474,42.61
pt00584,40.996873,70.067445,45.45,43.885,16.35991180556039,8,2043810,928580,45.43
pt00587,40.996849,70.067329,55.24375,54.5,21.918605232932656,8,2040260,1126024,55.19
pt00589,40.996825,70.067213,57.698750000000004,54.894999999999996,15.166486962566983,8,2040429,1177152,57.69
pt00592,40.996801,70.067097,60.363749999999996,59.805,11.226191234913875,8,2030994,1226078,60.37
pt00594,40.996778,70.066981,61.8125,61.28,12.094777798703042,8,2032917,1256011,61.78
pt00597,40.996754,70.066865,59.24375,55.91,14.206696547252438,8,2033726,1203650,59.18
pt00599,40.996731,70.066749,53.62,47.86,12.495223087244181,8,2037212,1091425,53.57
pt00602,40.996708,70.066633,54.595,52.64,12.76872071005661,8,2035803,1110618,54.55
pt00605,40.996685,70.066517,59.9425,58.05,12.861290481796253,8,2033075,1217939,59.91
pt00607,40.996662,70.066401,58.36125,56.005,12.915092430950702,8,2017054,1176228,58.31
pt00610,40.996638,70.066286,46.00625,46.31,15.438780426945275,8,2025493,929894,45.91
pt00612,40.996614,70.06617,39.7475,40.425,6.477849621154054,8,2036768,809212,39.73
pt00615,40.99659,70.066055,39.16375,35.59,12.569170830136043,8,2037422,796999,39.12
pt00617,40.996565,70.06594,42.90625,38.835,15.437969830907171,8,2036697,872932,42.86
pt00620,40.996541,70.065825,40.7775,44.21,12.096878877273618,8,2039055,831125,40.76
pt00622,40.996515,70.065704,48.97625,43.39,19.074921409686443,8,2029558,991880,48.87
pt00625,40.996489,70.065582,51.18875,47.03,15.280193938092353,8,2025355,1034813,51.09
pt00628,40.996462,70.065461,46.9475,45.605000000000004,17.02785008659134,8,2021173,946801,46.84
pt00630,40.996436,70.065341,43.40875,39.66,13.47895230932816,8,2025899,878207,43.35
pt00633,40.99641,70.065222,48.64125,48.28,17.05497031659686,8,2025181,982831,48.53
pt00635,40.996384,70.065105,47.56,48.095,11.958401708780793,8,2036129,967622,47.52
pt00638,40.996357,70.064984,43.230000000000004,47.075,16.478567032013782,8,2045658,884165,43.22
pt00641,40.996331,70.064867,48.53625,53.035,22.627805232564143,8,2042716,990542,48.49
pt00643,40.996305,70.06475,48.4925,50.575,20.334920527436118,8,2047356,992795,48.49
pt00646,40.99628,70.064633,51.15375,55.51,20.244726958960378,8,2046501,1046644,51.14
pt00648,40.996255,70.064519,58.66375,50.095,26.967872916543815,8,2040654,1194963,58.56
pt00651,40.996229,70.064402,53.4975,56.64,23.75365580885844,8,2040875,1090631,53.44
pt00654,40.996203,70.064286,49.8475,60.045,25.491274557609483,8,2041298,1016420,49.79
pt00656,40.996177,70.064169,43.075,36.754999999999995,29.935488733513033,8,2030904,872249,42.95
pt00659,40.996152,70.064054,34.385,31.43,20.934372964781424,8,2034825,698119,34.31
pt00661,40.996126,70.063937,23.0325,19.740000000000002,10.372096839942389,8,2039073,469237,23.01
pt00664,40.9961,70.063822,22.25625,20.105,12.389807951353747,8,2041398,454012,22.24
pt00666,40.99609,70.063701,17.375,20.15,9.985173294153974,8,2037073,353439,17.35
pt00669,40.996059,70.063589,18.72375,20.33,10.824845676894034,8,2035426,380596,18.7
pt00671,40.996039,70.063468,15.565000000000001,15.100000000000001,8.543818149482618,8,2039046,316780,15.54
